,XGBoost_Forecast
2025-05-23 00:00:00,792.6288
2025-05-23 01:00:00,782.739
2025-05-23 02:00:00,775.8348
2025-05-23 03:00:00,771.2366
2025-05-23 04:00:00,767.2885
2025-05-23 05:00:00,766.5056
2025-05-23 06:00:00,768.62366
2025-05-23 07:00:00,775.24023
2025-05-23 08:00:00,777.5778
2025-05-23 09:00:00,777.4103
2025-05-23 10:00:00,776.13947
2025-05-23 11:00:00,776.0067
2025-05-23 12:00:00,774.6489
2025-05-23 13:00:00,774.58655
2025-05-23 14:00:00,774.58655
2025-05-23 15:00:00,774.58655
2025-05-23 16:00:00,777.78937
2025-05-23 17:00:00,780.62335
2025-05-23 18:00:00,794.6033
2025-05-23 19:00:00,802.7832
2025-05-23 20:00:00,814.5294
2025-05-23 21:00:00,804.5398
2025-05-23 22:00:00,802.44885
2025-05-23 23:00:00,799.3292
2025-05-24 00:00:00,793.0661
2025-05-24 01:00:00,789.3803
2025-05-24 02:00:00,782.1133
2025-05-24 03:00:00,775.96
2025-05-24 04:00:00,771.8664
2025-05-24 05:00:00,772.91595
2025-05-24 06:00:00,775.034
2025-05-24 07:00:00,779.8181
2025-05-24 08:00:00,782.2043
2025-05-24 09:00:00,782.03674
2025-05-24 10:00:00,780.825
2025-05-24 11:00:00,780.69226
2025-05-24 12:00:00,779.3345
2025-05-24 13:00:00,779.2721
2025-05-24 14:00:00,779.2721
2025-05-24 15:00:00,779.2721
2025-05-24 16:00:00,782.4375
2025-05-24 17:00:00,785.2715
2025-05-24 18:00:00,797.0897
2025-05-24 19:00:00,802.7832
2025-05-24 20:00:00,813.8961
2025-05-24 21:00:00,805.04175
2025-05-24 22:00:00,802.44885
2025-05-24 23:00:00,798.90015
2025-05-25 00:00:00,792.6288
2025-05-25 01:00:00,782.739
2025-05-25 02:00:00,775.8348
2025-05-25 03:00:00,771.2366
2025-05-25 04:00:00,767.2885
2025-05-25 05:00:00,766.5056
2025-05-25 06:00:00,768.62366
2025-05-25 07:00:00,775.24023
2025-05-25 08:00:00,777.5778
2025-05-25 09:00:00,777.4103
2025-05-25 10:00:00,776.13947
2025-05-25 11:00:00,776.0067
2025-05-25 12:00:00,774.6489
2025-05-25 13:00:00,774.58655
2025-05-25 14:00:00,774.58655
2025-05-25 15:00:00,774.58655
2025-05-25 16:00:00,777.78937
2025-05-25 17:00:00,780.62335
2025-05-25 18:00:00,794.6033
2025-05-25 19:00:00,802.7832
2025-05-25 20:00:00,814.5294
2025-05-25 21:00:00,804.5398
2025-05-25 22:00:00,802.44885
2025-05-25 23:00:00,799.3292
2025-05-26 00:00:00,793.0661
2025-05-26 01:00:00,789.3803
2025-05-26 02:00:00,782.1133
2025-05-26 03:00:00,775.96
2025-05-26 04:00:00,771.8664
2025-05-26 05:00:00,772.91595
2025-05-26 06:00:00,775.034
2025-05-26 07:00:00,779.8181
2025-05-26 08:00:00,782.2043
2025-05-26 09:00:00,782.03674
2025-05-26 10:00:00,780.825
2025-05-26 11:00:00,780.69226
2025-05-26 12:00:00,779.3345
2025-05-26 13:00:00,779.2721
2025-05-26 14:00:00,779.2721
2025-05-26 15:00:00,779.2721
2025-05-26 16:00:00,782.4375
2025-05-26 17:00:00,785.2715
2025-05-26 18:00:00,797.0897
2025-05-26 19:00:00,802.7832
2025-05-26 20:00:00,813.8961
2025-05-26 21:00:00,805.04175
2025-05-26 22:00:00,802.44885
2025-05-26 23:00:00,798.90015
2025-05-27 00:00:00,792.6288
2025-05-27 01:00:00,782.739
2025-05-27 02:00:00,775.8348
2025-05-27 03:00:00,771.2366
2025-05-27 04:00:00,767.2885
2025-05-27 05:00:00,766.5056
2025-05-27 06:00:00,768.62366
2025-05-27 07:00:00,775.24023
2025-05-27 08:00:00,777.5778
2025-05-27 09:00:00,777.4103
2025-05-27 10:00:00,776.13947
2025-05-27 11:00:00,776.0067
2025-05-27 12:00:00,774.6489
2025-05-27 13:00:00,774.58655
2025-05-27 14:00:00,774.58655
2025-05-27 15:00:00,774.58655
2025-05-27 16:00:00,777.78937
2025-05-27 17:00:00,780.62335
2025-05-27 18:00:00,794.6033
2025-05-27 19:00:00,802.7832
2025-05-27 20:00:00,814.5294
2025-05-27 21:00:00,804.5398
2025-05-27 22:00:00,802.44885
2025-05-27 23:00:00,799.3292
2025-05-28 00:00:00,793.0661
2025-05-28 01:00:00,789.3803
2025-05-28 02:00:00,782.1133
2025-05-28 03:00:00,775.96
2025-05-28 04:00:00,771.8664
2025-05-28 05:00:00,772.91595
2025-05-28 06:00:00,775.034
2025-05-28 07:00:00,779.8181
2025-05-28 08:00:00,782.2043
2025-05-28 09:00:00,782.03674
2025-05-28 10:00:00,780.825
2025-05-28 11:00:00,780.69226
2025-05-28 12:00:00,779.3345
2025-05-28 13:00:00,779.2721
2025-05-28 14:00:00,779.2721
2025-05-28 15:00:00,779.2721
2025-05-28 16:00:00,782.4375
2025-05-28 17:00:00,785.2715
2025-05-28 18:00:00,797.0897
2025-05-28 19:00:00,802.7832
2025-05-28 20:00:00,813.8961
2025-05-28 21:00:00,805.04175
2025-05-28 22:00:00,802.44885
2025-05-28 23:00:00,798.90015
2025-05-29 00:00:00,792.6288
2025-05-29 01:00:00,782.739
2025-05-29 02:00:00,775.8348
2025-05-29 03:00:00,771.2366
2025-05-29 04:00:00,767.2885
2025-05-29 05:00:00,766.5056
2025-05-29 06:00:00,768.62366
2025-05-29 07:00:00,775.24023
2025-05-29 08:00:00,777.5778
2025-05-29 09:00:00,777.4103
2025-05-29 10:00:00,776.13947
2025-05-29 11:00:00,776.0067
2025-05-29 12:00:00,774.6489
2025-05-29 13:00:00,774.58655
2025-05-29 14:00:00,774.58655
2025-05-29 15:00:00,774.58655
2025-05-29 16:00:00,777.78937
2025-05-29 17:00:00,780.62335
2025-05-29 18:00:00,794.6033
2025-05-29 19:00:00,802.7832
2025-05-29 20:00:00,814.5294
2025-05-29 21:00:00,804.5398
2025-05-29 22:00:00,802.44885
2025-05-29 23:00:00,799.3292
2025-05-30 00:00:00,793.0661
2025-05-30 01:00:00,789.3803
2025-05-30 02:00:00,782.1133
2025-05-30 03:00:00,775.96
2025-05-30 04:00:00,771.8664
2025-05-30 05:00:00,772.91595
